name,type,guests,cabins,crew,Cabin Configuration,length,Builder,year,Cruising Speed,Beam,Draft,Gross Tonnage,model,Exterior Designer,Interior Design,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description,Owner & Guests
FLYING FOX,Motor Yachts,22,11,55,"1 Master, 10 VIP",136m / 446'2,Lurssen Lurssen,2019,15 Knots,22.5m / 73'10,5.1m / 16'9,"9,022 GT",Custom Custom,Espen Oeino,Mark Berryman Design,"€3,000,000 p/week + expenses Approx $3,518,500","€3,000,000 p/week + expenses Approx $3,518,500","Mediterranean, Turkey","Abu Dhabi, Dubai","€3,000,000 p/week + expenses Approx $3,518,500","€3,000,000 p/week + expenses Approx $3,518,500","Indian Ocean, Maldives,, Seychelles",,"The multi-award winning 136m/446'2"" motor yacht 'Flying Fox' by the German shipyard Lurssen offers flexible accommodation for up to 22 guests in 11 cabins and features interior styling by British designer Mark Berryman Design.",
KISMET,Motor Yachts,12,8,36,,122m / 400'3,Lurssen Lurssen,2024,12 Knots,17m / 55'9,4.4m / 14'5,"4,918 GT",Custom Custom,Nuvolari Lenard,Reymond Langton Design,"€3,000,000 p/week + expenses Approx $3,517,000","€3,000,000 p/week + expenses Approx $3,517,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Monaco,, Montenegro","Amalfi Coast, Calvi, Corsica, French Riviera, Mykonos, Sardinia","$3,000,000 p/week + expenses","$3,000,000 p/week + expenses",,,"The 122m/400'3"" motor yacht 'Kismet' is an excellent new superyacht for the luxury charter market. Delivered by the German shipyard Lurssen  and featuring interior styling by British designer Reymond Langton Design this multi-award winning  yacht  can comfortably accommodate up to 12 guests in 8 cabins.",
BREAKTHROUGH,Motor Yachts,12,15,46,"1 Master, 4 VIP, 6 Double",118.8m / 389'9,Feadship Feadship,2025,14 Knots,19m / 62'4,5.25m / 17'3,"7,247 GT",Custom Custom,RWD,RWD,POA,POA,"Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Calvi, Cannes, Corsica, French Riviera, Ibiza, Ligurian Riviera, Mallorca, Mykonos, Portofino, Santorini, Sardinia, St Tropez, The Balearics",,,,,"The 118.8m/389'9"" motor yacht 'Breakthrough' offers the unmissable chance to charter a brand new superyacht, having only launched this year. Delivered by the Dutch shipyard Feadship  and featuring interior styling by British designer RWD this multi-award winning  yacht  can comfortably accommodate up to 12 guests in 15 cabins.",
AHPO,Motor Yachts,,8,39,"1 Master, 2 VIP, 4 Double, 1 Triple",115.09m / 377'7,Lurssen Lurssen,2021,14 Knots,18.21m / 59'9,4.3m / 14'1,"5,257 GT",Custom Custom,Nuvolari Lenard,Nuvolari Lenard,,,,,,,,,"The multi-award winning 115.09m/377'7"" motor yacht 'Ahpo' (ex. Ahpo) was built by Lurssen in Germany at their Rendsberg shipyard. Her interior is styled by Italian designer design house Nuvolari Lenard and she was delivered to her owner in November 2021. This luxury vessel's exterior design is the work of Nuvolari Lenard.",16
IJE,Motor Yachts,12,11,28,"1 Master, 10 Double/Twin",108m / 354'4,Benetti Benetti,2019,14 Knots,15.5m / 50'10,4.4m / 14'5,"3,471 GT",Custom Custom,RWD,Benetti,"€1,800,000 p/week + expenses Approx $2,052,000","€1,800,000 p/week + expenses Approx $2,052,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","€1,800,000 p/week + expenses Approx $2,052,000","€1,800,000 p/week + expenses Approx $2,052,000",,,"The 108m/354'4"" 'IJE' motor yacht built by the Italian shipyard Benetti is available for charter for up to 12 guests in 11 cabins. This  yacht  features interior styling by Italian designer Benetti.",
MAR,Motor Yachts,12,8,33,"1 Master, 7 VIP",107.01m / 351'1,Benetti Benetti,2020 | 2021 (Refitted),16 Knots,14.4m / 47'3,4.3m / 14'1,"3,900 GT",Custom Custom,Benetti,Benetti,"€1,800,000 p/week + expenses Approx $2,095,000","€1,800,000 p/week + expenses Approx $2,095,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics",,,,,"The 107m/351'1"" 'Mar' (ex. Lana) motor yacht built by the Italian shipyard Benetti is available for charter for up to 12 guests in 8 cabins. This multi-award winning  yacht  features interior styling by Italian designer Benetti.",
DREAM,Motor Yachts,36,22,32,"1 Master, 2 VIP, 6 Double, 9 Double/Twin",106.5m / 349'5,Olympic Yacht Servic Olympic Yacht Servic,1997 | 2022 (Refitted),15 Knots,15.8m / 51'10,4.5m / 14'9,"4,702 GT",Conversion Conversion,Studio Vafiadis,CQStudio,"€2,000,000 p/week + expenses Approx $2,280,000","€2,200,000 p/week + expenses Approx $2,508,000","Mediterranean, France,, Greece,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia","€2,000,000 p/week + expenses Approx $2,280,000","€2,200,000 p/week + expenses Approx $2,508,000",,,"The 106.5m/349'5"" 'Dream' (ex. Poseidonos) motor yacht built by shipyard Olympic Yacht Services is available for charter for up to 36 guests in 22 cabins.  She originally served as a cruise ship before being converted into a yacht by Olympic Yacht Services in 2018. This award winning  yacht  features interior styling by CQStudio.",
CHRISTINA O,Motor Yachts,34,17,38,"1 Master, 2 VIP, 14 Convertible",99.13m / 325'3,Canadian Vickers Canadian Vickers,1943 | 2025 (Refitted),15 Knots,11.12m / 36'6,4.24m / 13'11,"1,802 GT",Custom Custom,Caesar Pinnau,Apostolos Molindris & Associates,"€700,000 p/week + expenses Approx $821,000","€740,000 p/week + expenses Approx $868,000","Bermuda, Caribbean, Antigua,, Bahamas,, Cuba,, Saint Martin,, St Barts, Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics, Virgin Islands","€740,000 p/week + expenses Approx $868,000","€740,000 p/week + expenses Approx $868,000",,,"The 99.15m/325'4"" classic yacht 'Christina O' by the Canadian shipyard Canadian Vickers offers flexible accommodation for up to 34 guests in 17 cabins and features interior styling by Apostolos Molindris & Associates.",
CARINTHIA VII,Motor Yachts,12,8,30,"1 Master, 1 VIP, 2 Double/Twin, 2 Twin, 2 Single",97.2m / 318'11,Lurssen Lurssen,2002 | 2025 (Refitted),18 Knots,16.6m / 54'6,4.8m / 15'9,"3,643 GT",Custom Custom,Tim Heywood Design,"Tim Heywood Design, Bizzozero Cassina Architects","€1,400,000 p/week + expenses Approx $1,619,000","€1,400,000 p/week + expenses Approx $1,619,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","€1,400,000 p/week + expenses Approx $1,619,000","€1,400,000 p/week + expenses Approx $1,619,000","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"The 97.2m/318'11"" 'Carinthia VII' motor yacht built by the German shipyard Lurssen is available for charter for up to 12 guests in 8 cabins. This award winning  yacht  features interior styling by British designer Tim Heywood Design.",
SOPHIA,Motor Yachts,12,7,32,"1 Master, 1 VIP, 5 Double",97m / 318'3,Feadship Feadship,2017 | 2022 (Refitted),14 Knots,14.5m / 47'7,3.7m / 12'2,"2,999 GT",Custom Custom,RWD,"RWD, Chahan Interior Design","€1,800,000 p/week + expenses Approx $2,103,500","€1,800,000 p/week + expenses Approx $2,103,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Ibiza, Sardinia, The Balearics","€1,800,000 p/week + expenses Approx $2,103,500","€1,800,000 p/week + expenses Approx $2,103,500","Caribbean, Antigua,, Bahamas,, Cuba,, Saint Martin,, St Barts",Virgin Islands,"The 96.55m/316'9"" 'Sophia' (ex. Faith) motor yacht built by the Dutch shipyard Feadship is available for charter for up to 12 guests in 7 cabins. This multi-award winning  yacht  features interior styling by British designer RWD.",
