,name,type,guests,cabins,crew,Cabin Configuration,length,Builder,year,Cruising Speed,Beam,Draft,Gross Tonnage,model,Exterior Designer,Interior Design,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description,Owner & Guests
0,'H,Motor Yachts,10.0,5.0,8.0,"1 Master, 2 VIP, 3 Double/Twin, 2 Twin, 4 Single",42.6m / 139'9,Benetti Benetti,2015,19 Knots,8.51m / 27'11,2.21m / 7'3,390 GT,Fast 140' Fast 140',Stefano Righini,RWD,"€187,000 p/week + expenses Approx $213,000","€187,000 p/week + expenses Approx $213,000","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Sardinia","$187,000 p/week + expenses","$210,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"The 42m/137'10"" ''H' motor yacht built by the Italian shipyard Benetti is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by British designer RWD.",
1,105 YCG,Motor Yachts,10.0,5.0,4.0,"1 Master, 2 VIP, 2 Twin",31.4m / 103',Azimut Azimut,2005 | 2014 (Refitted),24 Knots,7.4m / 24'3,1.97m / 6'6,193 GT,Grande 105 Grande 105,Stefano Righini,Carlo Galeazzi,"$67,500 p/week + expenses","$85,000 p/week + expenses","Caribbean, Bahamas",,"$67,500 p/week + expenses","$85,000 p/week + expenses","Caribbean, Bahamas",,The 31.4m/103' motor yacht '105 YCG' by the Italian shipyard Azimut offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Italian designer Carlo Galeazzi.,
2,1K,Open Yachts,6.0,3.0,5.0,"1 Master, 1 Double, 1 Twin",33.48m / 109'10,Mangusta Mangusta,2013 | 2022 (Refitted),28 Knots,7.12m / 23'4,1.35m / 4'5,184 GT,Mangusta 108 Mangusta 108,Stefano Righini,,"€99,000 p/week + expenses Approx $116,000","€115,000 p/week + expenses Approx $134,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Sardinia","€99,000 p/week + expenses Approx $116,000","€115,000 p/week + expenses Approx $134,500",,,"The 33.48m/109'10"" '1K' open yacht built by the Italian shipyard Mangusta is available for charter for up to 6 guests in 3 cabins.",
3,2 DRUNK,Motor Yachts,8.0,4.0,2.0,"2 Double, 2 Twin",21.07m / 69'2,Sunseeker Sunseeker,2012,20 Knots,5.1m / 16'9,1.53m / 5',45 GT,Manhattan 63 Manhattan 63,Sunseeker,Sunseeker,,,,,"€24,000 p/week + expenses Approx $28,000","€24,000 p/week + expenses Approx $28,000",,,"The 21m/68'11"" '2 Drunk' motor yacht built by the British shipyard Sunseeker is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by British designer Sunseeker.",
4,2 LADIES,Motor Yachts,12.0,6.0,10.0,2 Master,46.35m / 152'1,Rossinavi Rossinavi,2012 | 2020 (Refitted),12 Knots,8.62m / 28'3,2.8m / 9'2,499 GT,Custom Custom,Mulder Design,Spaldoni,"€220,000 p/week + expenses Approx $251,000","€220,000 p/week + expenses Approx $251,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics","€220,000 p/week + expenses Approx $251,000","€220,000 p/week + expenses Approx $251,000",,,"The 46.35m/152'1"" motor yacht '2 Ladies' by the Italian shipyard Rossinavi offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Spaldoni.",
5,3WWW,Motor Yachts,6.0,3.0,2.0,"1 Master, 1 VIP, 1 Twin",23.37m / 76'8,Horizon Horizon,2010,12 Knots,6.25m / 20'6,1.78m / 5'10,61 GT,Custom Custom,,,"$29,000 p/week + expenses","$32,000 p/week + expenses","Caribbean, Bahamas",,"$29,000 p/week + expenses","$32,000 p/week + expenses","Caribbean, Bahamas",,"The 23m/75'6"" '3WWW' motor yacht built by the Taiwanese shipyard Horizon is available for charter for up to 6 guests in 3 cabins.",
6,4 LIFE,Motor Yachts,8.0,4.0,4.0,"1 Master, 1 VIP, 2 Twin, 1 Convertible",26.01m / 85'4,Princess Princess,2013 | 2022 (Refitted),18 Knots,6.3m / 20'8,1.65m / 5'5,,Princess 85 Motor Yacht Princess 85 Motor Yacht,,,"€35,000 p/week + expenses Approx $40,000","€45,500 p/week + expenses Approx $52,000","Mediterranean, Greece",Mykonos,"€35,000 p/week + expenses Approx $40,000","€35,000 p/week + expenses Approx $40,000","Mediterranean, Greece",Mykonos,"The 25.93m/85'1"" '4 Life' motor yacht built by the British shipyard Princess is available for charter for up to 8 guests in 4 cabins.",
7,4A,Motor Yachts,10.0,5.0,6.0,"3 Double, 2 Twin",39.4m / 129'3,Sanlorenzo Sanlorenzo,2007 | 2024 (Refitted),13 Knots,7.6m / 24'11,2.85m / 9'4,317 GT,40Alloy 40Alloy,Francesco Paszkowski Design,Francesco Paszkowski Design,"$120,000 p/week + expenses","$120,000 p/week + expenses","South Pacific, Australia,, Fiji,, New Zealand,, Papua New Guinea","Sydney, Whitsundays","$120,000 p/week + expenses","$120,000 p/week + expenses","South Pacific, Australia,, Fiji,, New Zealand,, Papua New Guinea","Sydney, Whitsundays","The 38.5m/126'4"" '4A' motor yacht built by the Italian shipyard Sanlorenzo is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Italian designer Francesco Paszkowski Design.",
8,5 ACES,Motor Yachts,8.0,4.0,4.0,"1 Master, 1 VIP, 1 Double, 1 Twin",28.65m / 94',Amer Amer,2015,22 Knots,6.3m / 20'8,1.85m / 6'1,106 GT,Custom,,,"€52,000 p/week + expenses Approx $59,500","€58,000 p/week + expenses Approx $66,000",,,"€52,000 p/week + expenses Approx $59,500","€58,000 p/week + expenses Approx $66,000",,,The 28.65m/94' '5 Aces' motor yacht built by the Italian shipyard Amer is available for charter for up to 8 guests in 4 cabins.,
9,5 PALMS,Motor Yachts,8.0,4.0,4.0,,26.95m / 88'5,Ferretti Yachts Ferretti Yachts,2024,22 Knots,6.22m / 20'5,2.08m / 6'10,100 GT,Ferretti 860 Ferretti 860,Filippo Salvetti,Ideaeitalia,"$75,000 p/week + expenses","$80,000 p/week + expenses","Caribbean, Bahamas",,"$75,000 p/week + expenses","$80,000 p/week + expenses","Caribbean, Bahamas",,"The 26.95m/88'5"" motor yacht '5 Palms' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Ferretti Yachts  and featuring interior styling by Italian designer Ideaeitalia she can comfortably accommodate up to 8 guests in 4 cabins.",
