yacht_id,cold_recommendations
9149396e-5737-4ae6-a29e-9129aafe9059,"['3651febf-f8f6-4107-ab56-8f837e23c6ae', '965ca4c5-20d7-44f7-a630-646c06928f21', '0797fc64-6203-4398-a581-277a1c69426f', '9bbccb23-55e7-47f2-a018-8703e1a82883', '12980944-439e-4493-98c6-57fcf09d9fab', 'f12f17e4-00c5-4385-a1fa-f8fee9cd4e99', '9e957476-1388-4872-b07f-65cd2805ce3e', '3663a19d-fc81-48cb-b8bb-7622da7d2a04', '0242e345-7e4e-4ef9-ba3b-ae98ae145b52', '656379c1-fc57-4b93-94a6-3edef3d515c1', '9e5140c9-4237-437c-af33-c110900c0cf0']"
5d09a41f-4f28-4396-afcd-0d308c25efec,"['b228570a-1c99-4552-814e-4fedfaf64531', '2fc54bad-0a3c-4a87-8ec2-e844aee0dc84', '4586e4c7-7319-48bc-81cd-643ea8a0c1ac', '9335b2c5-a186-4ae5-a6a8-04b566e05b3f', '32174343-06ab-47f6-a347-25ffa9042d16', '27490d5c-a246-4ade-b534-27ac6d156066', '79f4f232-0f52-437f-b72d-39786eecc652', 'a5d73bc4-23d8-4d55-ae1e-9143ca77b0b9', 'ee0a06e7-af56-4b49-859c-fb0ebe0a7e9d', 'e71b4ccd-1c57-4311-bc43-57455be4bf73', 'eea6ff71-4856-4e33-94c6-0f8d01459f4b']"
bdfa3bb0-9a39-47b8-ab00-09930bfb7d2b,"['26fe5251-cf89-4e17-b5af-6694b9599c7d', '7fdae4b3-a2eb-4544-ba7e-3f953d908573', 'b382ed8b-e5dc-409e-acff-aa0ca379bf96', '079e9764-43ba-4560-bd0e-5d7dbdf6532c', '4b85288a-e948-4b64-80bd-49f6831c4cb5', '2fdbc224-ef7b-4040-9d02-7022a3454579', '21073829-7d75-4f5b-85c9-05f30644ec2a', '6a4bbff6-4987-4055-b58e-9a1fe0f7aa7f', '9f23f67a-706f-4f39-b597-c5073c9a3b8c', '34ec3705-cc9b-4db1-9a29-b58ec232ddf1', '7bedb0ec-b97c-4c7c-8fc9-c44f8c0b71d2']"
b8cdc6f5-72d3-4ab7-87a8-862675b40a34,"['689e143b-9e0d-4a22-8d51-55245f4a96c6', '34055a6e-189d-493d-90e2-db5b6526f8a9', '4bb6c0b5-3b4d-4199-8a07-6fd1ea5a8f16', '53235fad-9c41-4a77-a4f1-9067b005728a', '8594aad9-a75d-4864-a91b-ba8c1c8c5b68', 'cbe2a533-7bd5-43ce-ab6b-0fc0aeb7a83e', '5710b971-c4a1-41ea-b4da-0685af0ef671', '900d2aff-96b5-4dc9-931e-cdb7f0d214e6', '363b2c66-a97b-434c-bd0a-6786ab850307', '2e71b81b-cfa5-47a5-909c-a205d340ce01', '9717c860-a40e-48ff-9870-16fdf0161fc6']"
e268e2ec-31c7-4c74-8a31-a6ca46a9de88,"['ca7616a4-a15d-4c46-8bf4-96382fe28e1e', 'c036e89a-dd36-4126-acd2-6008ecb1310c', '2c0bb7f1-a78a-4042-aca6-76ff1e3c8180', '5ec30939-e062-46f4-9e70-6003e1e2476d', '1e3d0e41-f5ae-43cb-a2e1-1d2061e9d87a', '092c2dd8-005f-46b4-86a4-de5985da5bd7', '8d573c69-41e1-4e3e-8045-604ca7f00483', '0defe3b8-3957-4ef6-8a81-665bbbc27d4d', '4ba5fb36-0a38-4b46-b360-9890d2d9adba', '6d58ef0d-9e0a-49af-af12-e3bbb46650a4', '3fe108a5-a92f-48ce-8112-f6a7989c14c2']"
05dac4d6-fc08-46ad-baa2-50f4226619f7,"['bceb2c0c-36a6-4c68-9224-df980fbf717e', '19d52db2-b8a7-4d59-bac9-b104c55c3a0e', '3d72d71d-d24c-4a3a-8ec0-7563f7fd10c7', 'bec210a2-ff3d-4668-9474-209bec6ef6d6', 'd70b9fa2-aacf-43d0-af0c-863c403d859d', '6f5769f4-a9a5-458c-be6a-d1179c923f8f', 'eb11e828-e8e9-448e-9905-bf73500bcb82', '27ed71d7-1074-4917-a6a3-13a00e3564d9', 'c272c705-94b9-4227-8c5b-84d27ce1dadf', '5a1089ed-9531-47b0-9f3c-b2f308f6776a', '20060a17-fbd6-46e8-b858-e4ab31e45c0b']"
1d2b10bb-9365-4a48-a687-7133f7b0d55c,"['760623e5-1336-411c-80f9-886b48ac4c30', '9bb4319d-8891-4282-a1fd-f01f93a4c4a9', '6f55eeb6-4938-4fc2-9f30-9275a69854a8', '9ed28c3c-0171-4871-85e8-fe62c3222c7c', '936b7e28-f4b1-429e-bd7b-264b17ef28c9', 'b704a5a0-3089-469f-90ab-7316973beadb', 'e471618c-f35d-400d-912c-c217f4650a04', '5c69f949-582d-4e5f-900f-d79ff22efd03', 'a072908c-23d4-4dd4-9ece-37ab3bce97ec', '6e2c5e25-04bc-4d0a-b49b-c373cce45c0f', '69d8e260-6bbd-4e39-8948-a901fe33d475']"
90d38f0e-01ae-4b6a-9eef-2d70a73747bc,"['15fd1679-056b-4a7b-81aa-11263c9d64af', '2fdbc224-ef7b-4040-9d02-7022a3454579', '2a26d89c-7a45-47c5-b147-fbd4c1eea5ce', 'a7b03bf0-8ea8-4caa-bae0-a1bfbf650eb8', 'ebe00963-a0f5-4f2e-9cb0-e60e568e97d7', 'c4835952-6c9c-4dc2-a51f-3f826b2b9f31', '1ba40a42-da35-479b-ba53-bc72f9b5c5df', '1771e810-1318-4bc4-adca-f8c4ad789084', '5c6fd0e8-54bf-472a-9be3-1c1356fd7e79', '26fe5251-cf89-4e17-b5af-6694b9599c7d', 'c9a673ce-998c-456c-9024-90c8ca8a566f']"
24da86e1-fd56-4d8c-a4fb-47ce2e7a5553,"['54db5cf2-5029-4762-9611-ad68df3dae45', '11ea6cd7-c7a7-4eb8-9f48-958ebc236189', 'f0ca2962-356b-492e-a424-4f494de0dd96', '356ebfd0-243e-4697-b9d0-2e793bf89c76', 'b501a1ba-a7f9-4620-8c43-9c6b91fca1ab', 'bd8cd92c-dbef-4bdc-9562-a45408afa831', '37047dfe-f6bb-4d80-8cdc-a2f0a3988009', 'bdb3936d-e86f-4c62-a6b8-1f14aa18a645', '3b48aef4-424f-4ce8-b4ce-4ccb7b8f71c1', '8b0b127a-baff-4ce9-9537-0894c3b62700', '9e40f5fc-3b7d-45e8-8c67-26c5f89be881']"
8144b685-d5df-4b37-bf19-fa342132d184,"['cce59032-2d92-475f-9000-7928d81fb764', 'e305bca0-9bbc-4780-980c-2c3bb77fc610', '9be5f74a-17d2-43eb-a38e-0e07e3fa5adc', 'faa127c3-9bbe-4527-bf3b-ea343f713d6f', 'cbabfada-9766-4fe8-a158-f6882fade221', 'af716385-3fa2-41d8-9b8d-c34467eba53e', '1d441427-8cac-4e59-b965-4cb9058336d3', 'f4e7cb5a-d24b-47f0-95ae-f94bba39a8e7', '621a5ae6-a574-4757-8b8f-d215ad8bae07', '4bc24be5-e130-4a8b-906b-3949cda16208', '3355b6c9-34cf-4613-a018-17af9b3cfbd9']"
987b78b4-4854-43f7-9cba-adbd06e9c113,"['92e95030-acc0-4276-90c6-a226841f6bd2', '1d011626-ef62-4e23-84de-9969a40e48fd', 'aeb01a89-e8ba-42d7-aec9-e67cb0ec56ca', '4501c006-18a8-411c-aeba-d5d1aa03053e', '81b26270-2626-415b-9591-82b3ffaea2ad', '9b3936e1-6eb0-4417-b8d4-de9c37d1ff01', 'da047c3e-e015-4eab-be1d-ee6f82ac69d8', '237a91f9-31f6-48fa-a150-3e0e1967797b', '42284a71-7aa9-4910-a5f9-9aa4b10acbe6', '4feacfc7-9af7-4236-89ad-1d7440bf455b', '05d4ab09-9a63-41dc-be49-8960b341b208']"
fe91a222-3260-461e-9350-0a255caf25d8,"['ccab77e9-e530-4de3-9504-8a8f4a656050', '37e51b6d-03da-4ad2-959c-d18dc587489c', '02cdede9-dd50-49d4-a6d8-3464f27d528b', 'd3b953f3-7bcd-4fe3-b9bc-4d173ff0f373', 'a184b79b-89a8-471d-b120-c40b554a39f3', '5d7ad9c0-93c1-4ca0-a443-72febcf41fa7', 'afe6f4eb-088a-4420-8270-348cc0467ebd', '7eb70ba1-196a-45ee-b092-ae57b2ad1981', 'c32f95c7-2c7e-4d5e-8341-81b750422491', '0e6a5e11-227b-42e0-9511-75caa1898f62', '7046af67-ae2c-4385-959d-fd2d8bc488be']"
4470c728-4a92-4671-8fb0-7da9da138478,"['902a5bdf-1283-4023-8665-122303b7d153', 'a1e6eacb-ea47-4b46-ad93-d53c05ec9f17', 'a75c1fe8-f217-4401-b2ad-70b06cec5cc4', '184195fe-a387-49cb-ab63-c3d08de09fc0', '70d69491-8d1b-40f6-88a9-d0cc27c42559', '915b7eeb-afae-49a4-9b65-31e8d20914fb', 'fff1de80-faa4-455c-b5d2-b53abd8b14ec', '0c654bb2-18be-491c-9040-fd8acb0cfb21', 'a2b62992-7c93-4788-984f-b3de498858e0', '69d38aef-9ad6-4b8c-a3fb-c5a6fda7a49b', '1832f8cc-9ec7-4c95-b88d-72ddf049fa0f']"
4d307b9d-4e57-4be1-87d6-89d305e197eb,"['74031530-a074-4470-8a61-f633b68ed5f9', '0f9643f8-a14b-4e51-a189-afb81fe407f7', '4808a7d2-4215-402b-9ae6-30f8ec95d75e', '407af5bc-860a-4ce3-adf9-84505d175543', 'c6c4ec7f-8d58-4da0-b04f-5cbf25de72cc', '35047ca5-21f0-4fea-acce-231cba71cfcb', '3556313c-cc41-412b-862a-7bc7be5a0ad0', 'f34cea6a-6219-4c9e-9a6b-46ae1cf55c71', 'cc5a4e26-3f33-43f3-9430-7877a189910b', '828f45eb-6c01-433b-88ef-6132b9e92115', '169270a1-53e7-4a82-8dbd-843ab5ec4239']"
23a027ac-0899-4083-bff7-9f9b97415565,"['6e5a4ee8-b616-4220-9b5d-2bf7ff5d262c', '3303aa4d-d3ef-4e41-acd6-1950ed76eda2', 'b609876e-4d8c-4c8e-b65f-f99d2afc1d1f', '32cde4a4-7496-4b78-8c86-33f5a8c28d99', '805ad9c3-20f8-4c4a-b292-d8e538f731f8', '5b17c89c-00ef-48c0-b444-d2c407023288', 'b773a68d-8869-4b63-93b4-dfbf6696faea', '8efbd66e-46af-4e0e-bb11-60e29c6db7dc', 'cbdb0030-a2d6-47cc-986c-c75bfebf7367', '3ff48708-1d0e-49ba-a116-20ab9a80d0f8', 'f700353a-6c7c-4e72-badc-c9d7a3f8b5e7']"
525cba30-a9c8-4f0a-967b-5049bd7d1b6b,"['20389ed1-9672-4318-97b8-4ff67898dff2', '41ef66f3-b960-40ef-8090-5770203fac89', 'e7510fdd-e2b8-4377-9db0-6c848aadfeaf', '5e521db5-5ed1-4dde-bd60-fc70da226a93', 'd79a220e-8ce4-4c3a-a49a-4be266c5a257', '5f3df7bd-d737-4846-b7fd-8dbc42905467', '2c12f904-34a1-4fff-ad95-65a6fea93d43', 'decb50e9-9a8f-4082-8e98-6e41591317d1', '370dc500-b345-43e5-a0a6-49d8f4390e86', '6e9f1bda-6584-4c01-a1a5-6116d10cbc34', '0030753b-7581-4ab8-a69a-67903bee11a9']"
bceb2c0c-36a6-4c68-9224-df980fbf717e,"['d70b9fa2-aacf-43d0-af0c-863c403d859d', 'bec210a2-ff3d-4668-9474-209bec6ef6d6', '05dac4d6-fc08-46ad-baa2-50f4226619f7', '27ed71d7-1074-4917-a6a3-13a00e3564d9', 'eb11e828-e8e9-448e-9905-bf73500bcb82', '79e90d87-d64f-44c9-947e-a015d4f9b270', '0a32f607-a446-46ff-b91d-f2d818eca04e', '544ffe14-1432-452c-bf11-433fb6b329da', 'c272c705-94b9-4227-8c5b-84d27ce1dadf', '254b8330-9b84-4273-affd-9b696d7a7ccb', '5ac34d25-358b-4caa-a984-8590bc05eee0']"
